Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6,Type of Vehicle 7,Casualty Class 7,Casualty Severity 7,Sex of Casualty 7,Age of Casualty 7
62D2076,407820,424186,2,43509,2252,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Motorcycle - Unknown CC,Driver or rider,Serious,Female,29,Car,Vehicle or pillion passenger,Serious,Female,25,,Vehicle or pillion passenger,Serious,Female,17,,,,,,,,,,,,,,,,,,,,
62G0718,410849,420601,2,43512,1129,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,63,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
62I0672,412443,426534,1,43514,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Agricultural vehicle (includes diggers etc.),Pedestrian,Slight,Male,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62J1410,409592,424836,2,43515,1835,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,57,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
62L0952,411501,419651,2,43517,1400,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Female,49,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
62M0769,415404,422502,1,43518,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62M1225,412749,428958,7,43518,1650,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,19,Car,Driver or rider,Slight,Male,42,Car,Driver or rider,Slight,Male,72,Car,Vehicle or pillion passenger,Slight,Female,66,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
62M1698,398835,427224,2,43518,1755,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,15,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
62O0181,397664,426659,1,43520,151,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious,Male,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62O0501,408130,427347,2,43520,810,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,47,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
62P0207,411040,420842,2,43521,559,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,57,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
62Q1437,410076,421622,2,43525,550,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6340638,404418,420701,2,43528,1148,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,62,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6340804,408391,426520,3,43528,1305,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,46,Taxi/Private hire car,Driver or rider,Slight,Male,56,Car,Driver or rider,Slight,Female,53,,Vehicle or pillion passenger,Slight,Female,26,,Vehicle or pillion passenger,Slight,Male,4,,Vehicle or pillion passenger,Slight,Female,30,,,,,
6370337,412689,421428,1,43531,850,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Pedestrian,Slight,Female,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63A1016,391942,425655,2,43534,1500,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,61,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
63C0554,402564,416005,2,43536,1127,Motorway,Wet / Damp,Daylight: street lights present,Raining with high winds,Car,Driver or rider,Slight,Male,61,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
63D0351,409115,425084,1,43537,845,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63D1372,407448,425221,2,43537,1730,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,5,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
63D1851,406036,423432,1,43537,2100,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Male,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63G1401,407400,425927,2,43540,1715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,35,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
63H0768,407948,424599,2,43541,1249,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,19,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
63H1032,408666,424775,2,43541,1501,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,43,Car,Vehicle or pillion passenger,Slight,Female,11,,,,,,,,,,,,,,,,,,,,,,,,,
63K0899,416439,422239,1,43544,1340,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Male,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63K1349,409786,425725,2,43544,1645,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,54,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
63Q1077,399968,415544,3,43550,1540,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,37,Car,Driver or rider,Slight,Male,33,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
63Q1404,411194,423687,3,43550,1803,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,8,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
63R0449,407339,426746,2,43551,1015,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,69,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
63U1733,399245,427428,2,43554,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,47,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6471771,416515,422194,2,43562,1320,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,29,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6490382,409403,425836,1,43564,927,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64B0209,408203,424459,1,43566,525,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64B0422,414021,421609,2,43565,1825,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,38,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64B1203,416384,422224,2,43566,1640,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Serious,Male,60,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64D0970,409364,424113,1,43568,1400,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64F0540,406928,425439,1,43570,1130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,53,Vehicle or pillion passenger,Slight,Female,8,,,,,,,,,,,,,,,,,,,,,,,,,,
64F0673,393369,423821,3,43570,1219,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight,Male,82,Car,Vehicle or pillion passenger,Slight,Female,33,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,53,,Vehicle or pillion passenger,Slight,Female,40,,Driver or rider,Slight,Male,64,,,,,,,,,,
64G1125,404077,425554,2,43570,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,6,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64I0344,404780,424113,2,43573,850,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,48,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64I0844,414715,423065,2,43573,1115,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,79,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64I1086,412461,425459,1,43575,1525,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64I1853,393458,421996,2,43573,2040,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,49,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64J1224,407563,426000,2,43574,1705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,41,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64K0399,414798,425037,2,43575,700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,31,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64K1571,406205,423679,1,43575,1830,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64K2079,409452,424588,2,43575,2223,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,24,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
64L1051,406597,424826,2,43576,1450,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,19,Car,Driver or rider,Slight,Male,70,,Vehicle or pillion passenger,Slight,Female,42,,Vehicle or pillion passenger,Slight,Female,11,,,,,,,,,,,,,,,
64S1800,409039,425718,3,43583,2133,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,18,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
64U0698,414925,422911,2,43585,1241,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,32,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6510616,408449,419718,2,43585,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,44,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6521874,399335,427278,1,43587,2129,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Female,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6531035,408531,425592,2,43588,1607,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,14,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6541044,406583,423816,2,43589,1458,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,29,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6561366,416387,422222,2,43591,1823,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,22,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6570627,407715,421358,3,43592,1208,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,75,Car,Vehicle or pillion passenger,Slight,Female,75,Car,Vehicle or pillion passenger,Slight,Female,40,,,,,,,,,,,,,,,,,,,,
65A1154,405764,423328,2,43595,1614,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,46,Car,Driver or rider,Slight,Male,27,,,,,,,,,,,,,,,,,,,,,,,,,
65B1266,401304,426023,2,43596,1725,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,18,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65C0724,410120,425821,1,43597,1225,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,69,,Vehicle or pillion passenger,Slight,Male,70,,,,,,,,,,,,,,,,,,,,,,,,,
65D0271,407218,424283,2,43598,725,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,25,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65D0282,402712,415938,2,43598,740,Motorway,Dry,Daylight: street lights present,Fine without high winds,Other Vehicle ,Vehicle or pillion passenger,Fatal,Male,31,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Serious,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,
65E1534,401179,426064,2,43599,1738,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,19,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65E1555,416987,423640,3,43599,1745,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,27,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
65F0488,412900,425623,2,43600,1030,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,60,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65H0317,400139,423311,2,43602,2105,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,33,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65H1176,408723,424487,2,43602,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,22,Car,Driver or rider,Slight,Female,45,,,,,,,,,,,,,,,,,,,,,,,,,
65L1405,408335,424976,2,43606,1740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,14,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65M0852,407592,424974,2,43614,2245,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,16,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65N1203,400689,415324,3,43608,1614,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,56,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
65N1361,409755,422877,2,43608,1600,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,29,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65N1765,414157,423882,2,43608,1952,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,21,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65P0654,393739,424150,2,43610,1109,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,85,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
65P0685,393074,425104,1,43610,1120,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65Q0574,410222,418733,3,43611,1115,Motorway,Wet / Damp,Daylight: street lights present,Raining with high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,28,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
65T1335,409309,424944,1,43614,1335,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6610845,392601,423158,3,43617,1306,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49,Car,Driver or rider,Slight,Female,41,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
6631452,407526,429361,2,43619,1745,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,28,Car,Driver or rider,Slight,Female,31,,,,,,,,,,,,,,,,,,,,,,,,,
6651825,411603,420725,4,43621,2115,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,24,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
66A1052,408594,425566,1,43626,1507,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66B0274,411397,419619,2,43627,815,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Male,47,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
66B0368,410873,419624,2,43627,933,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,32,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
66C0400,408056,428486,2,43618,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,12,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
66C1831,408020,424658,1,43628,2226,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66E0667,412100,428194,4,43630,1202,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,30,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
66H0297,403680,419488,2,43632,1905,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,18,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
66K2066,407464,424624,2,43636,2352,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,20,Car,Vehicle or pillion passenger,Slight,Male,20,,Vehicle or pillion passenger,Slight,Male,21,,,,,,,,,,,,,,,,,,,,
66L1258,398321,414766,3,43637,1636,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,39,Car,Driver or rider,Slight,Male,65,Car,Driver or rider,Slight,Female,57,,,,,,,,,,,,,,,,,,,,
66L1409,408727,423669,2,43637,1740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,34,Taxi/Private hire car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66L1624,409353,424961,1,43637,1900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66O2039,414596,422804,1,43640,2248,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66P1947,409973,425659,1,43641,2318,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Serious,Male,21,,Vehicle or pillion passenger,Serious,Male,20,,Vehicle or pillion passenger,Serious,Male,21,,Vehicle or pillion passenger,Serious,Male,22,,,,,,,,,,,,,,,
66U1222,409227,425353,2,43646,1514,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,14,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6720437,412346,425869,1,43648,930,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6721656,400302,427341,2,43648,1857,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,20,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6750352,406258,423898,1,43651,836,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6751146,411420,420453,3,43651,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
6760814,399636,426900,2,43652,1100,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,16,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6761945,389881,426268,2,43652,2130,A,Dry,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6781836,414635,422712,2,43654,2027,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,19,Car,Driver or rider,Slight,Male,25,,,,,,,,,,,,,,,,,,,,,,,,,
6790856,413523,420614,2,43655,1318,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,81,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67B1142,416309,424137,2,43657,1513,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,25,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67B1325,410046,423303,2,43657,1622,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,26,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67B1712,408164,427574,3,43657,1904,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,3,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
67C0218,411025,419630,1,43658,450,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67C1738,405419,419813,2,43658,1902,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25,Car,Driver or rider,Slight,Male,53,,,,,,,,,,,,,,,,,,,,,,,,,
67D0909,413653,426162,2,43659,1325,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,49,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67D1295,399768,427251,3,43659,1638,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,46,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
67D1546,413526,420937,2,43659,1835,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,3,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67E1213,416721,422105,2,43660,1530,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,44,Car,Driver or rider,Slight,Male,47,,,,,,,,,,,,,,,,,,,,,,,,,
67E1699,398927,420380,1,43660,1924,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67G0266,411440,419636,2,43662,654,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,27,Taxi/Private hire car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67G2262,406947,430908,2,43662,2336,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,20,Car,Driver or rider,Slight,Male,27,,,,,,,,,,,,,,,,,,,,,,,,,
67I1498,408335,424290,1,43664,1748,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67J0424,414829,422937,1,43665,855,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67J0531,401531,425998,2,43665,1004,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,71,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67J1397,405959,423452,2,43665,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,39,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67J1853,407532,423577,6,43665,2025,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,47,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,
67K0642,409232,425316,2,43666,1045,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,25,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
67K2263,402376,420524,1,43665,2245,Unclassified,Dry,Darkness: no street lighting,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Male,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
