Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6,Type of Vehicle 7,Casualty Class 7,Casualty Severity 7,Sex of Casualty 7,Age of Casualty 7
6BI1037,409734,425742,2,43794,1520,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,29,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6BJ0288,415311,422555,3,43788,837,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,53,Car,Driver or rider,Slight,Male,48,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
6BL1641,410524,421138,2,43790,1845,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6BM0496,400334,415219,1,43791,1021,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6BM1815,414814,425437,4,43791,2100,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,31,Car,Vehicle or pillion passenger,Slight,Female,24,Car,Vehicle or pillion passenger,Slight,Male,26,Car,Vehicle or pillion passenger,Slight,Female,21,,,,,,,,,,,,,,,
6BN1262,414479,422732,2,43792,1652,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,52,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6BN1845,417057,422949,1,43792,2158,Motorway,Flood (surface water over 3cm deep),Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6BO0271,409176,424999,1,43793,313,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6BP0216,416325,422080,4,43794,638,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,29,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,
6BS1464,410574,420791,1,43797,1844,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
